"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
454761,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',NULL,NULL,55.7400,0.4900,1.7800
454762,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',0.0000,49.8400,62.1100,0.9900,NULL
454763,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,58.9700,NULL,NULL,NULL
454764,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,58.9700,63.5000,NULL,2.2500
454765,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,NULL,57.8500,0.8800,2.1700
454766,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,37.5800,NULL,0.8400,2.5500
454767,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,42.6900,72.7100,0.4000,NULL
454768,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,33.0600,57.8500,0.5700,1.7000
454769,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,51.9300,NULL,1.3000,3.8100
454770,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,65.5400,65.8800,0.9200,2.2200
454771,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,NULL,65.8800,0.9200,2.2200
454772,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,63.5300,NULL,0.8700,2.1200
454773,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,36.0800,55.1000,1.0200,2.5400
454774,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,31.0600,68.1900,NULL,0.9500
454775,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,41.4000,60.1600,NULL,1.6300
454776,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',NULL,53.2300,63.6800,1.6000,NULL
454777,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,72.0400,68.3200,0.9300,2.1900
454778,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,72.0400,68.3200,0.9300,2.1900
454779,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,72.3100,63.7400,0.8700,2.0700
454780,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,35.0500,NULL,1.2100,2.5400
454781,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,24.1900,63.4100,0.6700,NULL
454782,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,47.5600,62.6800,0.7700,1.5600
454783,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,54.1100,64.4600,1.9000,NULL
454784,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',0.0000,68.8900,67.9700,NULL,2.2400
454785,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',0.0000,68.8900,67.9700,1.0100,2.2400
454786,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',NULL,68.3600,62.9900,0.9700,2.1200
454787,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',NULL,37.9800,54.7400,1.1600,2.5600
454788,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',0.0000,38.4100,64.4000,0.6100,NULL
454789,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',0.0000,NULL,NULL,0.7800,1.6200
454790,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 02:15:00.000000',0.0000,53.3300,NULL,NULL,3.8500
454791,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',NULL,66.2200,67.6400,1.1000,NULL
454792,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',0.0000,NULL,NULL,1.1000,NULL
454793,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',0.0000,65.1300,62.2800,1.0700,2.1700
454794,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',0.0000,41.1800,55.0900,1.1100,2.5900
454795,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',0.0000,NULL,NULL,0.5900,NULL
454796,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',0.0000,55.2300,62.3500,NULL,1.6900
