"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
508360,'330825','龙游县','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,60.3000,0.8300,2.6000
508361,'330881','江山市','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,60.4400,NULL,4.7700
508362,'330800','衢州市','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',NULL,NULL,NULL,1.4000,3.4700
508363,'330802','柯城区','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,51.6200,59.8400,1.4000,3.4700
508364,'330803','衢江区','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,46.9000,52.7100,1.3100,NULL
508365,'330822','常山县','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,38.7300,46.2600,NULL,3.3100
508366,'330824','开化县','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',NULL,39.1300,NULL,NULL,1.1300
508367,'330825','龙游县','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,47.5700,60.2700,NULL,2.6200
508368,'330881','江山市','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,NULL,60.4400,1.9000,4.7800
508369,'330800','衢州市','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',0.0000,NULL,58.6700,1.4100,3.5000
508370,'330802','柯城区','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',NULL,47.7200,NULL,1.4100,3.5000
508371,'330803','衢江区','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',0.0000,44.8700,51.6500,NULL,3.3900
508372,'330822','常山县','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',0.0000,31.1500,46.0300,1.3700,3.3600
508373,'330824','开化县','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',0.0000,18.2600,NULL,0.7200,1.1400
508374,'330825','龙游县','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',0.0000,45.8600,60.2400,1.2200,2.6400
508375,'330881','江山市','2023-11-09 01:30:00.000000','2023-11-09 01:45:00.000000',NULL,51.1600,60.4400,2.1500,4.7900
508376,'330800','衢州市','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',0.0000,43.8900,57.5200,NULL,3.5300
508377,'330802','柯城区','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',0.0000,43.8900,57.5200,1.4200,NULL
508378,'330803','衢江区','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',NULL,42.9200,50.6000,1.3600,3.4100
508379,'330822','常山县','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',0.0000,NULL,45.8000,NULL,3.4000
508380,'330824','开化县','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',0.0000,3.5900,39.2200,NULL,NULL
508381,'330825','龙游县','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',0.0000,44.6400,60.2100,1.4300,2.6600
508382,'330881','江山市','2023-11-09 01:45:00.000000','2023-11-09 02:00:00.000000',0.0000,NULL,60.4500,2.4000,4.7900
508383,'330800','衢州市','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',NULL,54.0500,NULL,1.3900,3.4800
508384,'330802','柯城区','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',NULL,54.0500,NULL,NULL,3.4800
508385,'330803','衢江区','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',0.0000,NULL,51.2100,1.3700,3.3800
508386,'330822','常山县','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',0.0000,NULL,NULL,NULL,3.3700
508387,'330824','开化县','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',NULL,NULL,NULL,0.6500,1.1000
508388,'330825','龙游县','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',0.0000,51.2700,60.2000,1.2900,NULL
508389,'330881','江山市','2023-11-09 02:00:00.000000','2023-11-09 02:15:00.000000',0.0000,NULL,60.5200,2.1300,NULL
508390,'330800','衢州市','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,68.2200,58.9500,1.4600,3.4200
508391,'330802','柯城区','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,NULL,58.9500,1.4600,3.4200
508392,'330803','衢江区','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,NULL,51.8300,NULL,NULL
508393,'330822','常山县','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,65.6400,45.8000,1.0000,3.3400
508394,'330824','开化县','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,89.3100,40.1700,NULL,1.0400
508395,'330825','龙游县','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,66.6900,NULL,0.9300,2.6300
508396,'330881','江山市','2023-11-09 02:15:00.000000','2023-11-09 02:30:00.000000',0.0000,57.8000,60.6000,NULL,4.6900
508397,'330800','衢州市','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',0.0000,62.9800,NULL,1.1700,3.3700
508398,'330802','柯城区','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',0.0000,62.9800,59.7100,1.1700,3.3700
508399,'330803','衢江区','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',0.0000,NULL,52.4700,1.1700,3.3000
508400,'330822','常山县','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',NULL,52.0900,45.7900,NULL,3.3200
508401,'330824','开化县','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',0.0000,84.9900,40.7200,0.6500,0.9900
508402,'330825','龙游县','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',0.0000,62.7000,60.1800,0.7600,2.6100
508403,'330881','江山市','2023-11-09 02:30:00.000000','2023-11-09 02:45:00.000000',0.0000,53.0700,60.6800,1.1600,4.6400
508404,'330800','衢州市','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',0.0000,61.9800,NULL,1.2700,3.3200
508405,'330802','柯城区','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',0.0000,61.9800,60.4800,1.2700,3.3200
508406,'330803','衢江区','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',NULL,60.2300,NULL,1.2800,3.2700
508407,'330822','常山县','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',0.0000,48.4400,45.7900,1.0200,NULL
508408,'330824','开化县','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',0.0000,NULL,NULL,NULL,NULL
508409,'330825','龙游县','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',0.0000,62.1600,NULL,0.8500,2.5900
508410,'330881','江山市','2023-11-09 02:45:00.000000','2023-11-09 03:00:00.000000',NULL,49.6700,60.7600,1.2300,NULL
508411,'330800','衢州市','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',0.0000,NULL,61.2800,NULL,NULL
508412,'330802','柯城区','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',0.0000,64.0400,61.2800,NULL,NULL
508413,'330803','衢江区','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',0.0000,NULL,53.7800,1.3500,3.2300
508414,'330822','常山县','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',0.0000,53.1400,45.7900,NULL,3.2600
508415,'330824','开化县','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',0.0000,NULL,42.0400,NULL,0.8800
508416,'330825','龙游县','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',0.0000,63.5900,60.1600,0.9100,2.5800
508417,'330881','江山市','2023-11-09 03:00:00.000000','2023-11-09 03:15:00.000000',NULL,52.4900,60.8400,NULL,4.5400
508418,'330800','衢州市','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',0.0000,65.8800,NULL,1.4200,NULL
508419,'330802','柯城区','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',NULL,65.8800,NULL,1.4200,3.2200
508420,'330803','衢江区','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',0.0000,NULL,54.4600,1.4200,3.2000
508421,'330822','常山县','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',0.0000,57.9600,NULL,1.0000,NULL
508422,'330824','开化县','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',0.0000,81.8900,42.8200,0.7600,0.8200
508423,'330825','龙游县','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',0.0000,64.8300,NULL,0.9700,2.5600
508424,'330881','江山市','2023-11-09 03:15:00.000000','2023-11-09 03:30:00.000000',0.0000,NULL,60.9300,1.2100,4.4900
508425,'330800','衢州市','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508426,'330802','柯城区','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508427,'330803','衢江区','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508428,'330822','常山县','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508429,'330824','开化县','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508430,'330825','龙游县','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508431,'330881','江山市','2023-11-09 03:30:00.000000','2023-11-09 03:45:00.000000',NULL,NULL,NULL,NULL,NULL
508432,'330800','衢州市','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',0.0000,NULL,NULL,1.5700,NULL
508433,'330802','柯城区','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',NULL,NULL,63.8500,1.5700,3.1200
508434,'330803','衢江区','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',0.0000,64.6300,55.8600,1.5700,3.1300
508435,'330822','常山县','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',0.0000,NULL,45.7800,1.0000,3.1800
508436,'330824','开化县','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',0.0000,79.9400,44.7600,0.8400,NULL
508437,'330825','龙游县','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',0.0000,NULL,60.1300,1.1000,2.5300
508438,'330881','江山市','2023-11-09 03:45:00.000000','2023-11-09 04:00:00.000000',0.0000,61.1000,61.1100,1.2100,NULL
508439,'330800','衢州市','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',0.0000,NULL,64.7500,1.4300,3.0700
508440,'330802','柯城区','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',0.0000,67.0900,64.7500,NULL,3.0700
508441,'330803','衢江区','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',NULL,NULL,56.5800,1.4100,3.1000
508442,'330822','常山县','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',NULL,57.9700,45.7800,1.0300,3.1500
508443,'330824','开化县','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',NULL,65.6600,45.9600,0.7200,0.6600
508444,'330825','龙游县','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',0.0000,63.8200,60.1200,1.1100,2.5100
508445,'330881','江山市','2023-11-09 04:00:00.000000','2023-11-09 04:15:00.000000',NULL,NULL,61.2000,NULL,4.3400
508446,'330800','衢州市','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',0.0000,NULL,65.6900,1.3000,NULL
508447,'330802','柯城区','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',0.0000,NULL,65.6900,1.3000,3.0200
508448,'330803','衢江区','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',0.0000,NULL,NULL,1.2600,3.0600
508449,'330822','常山县','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',0.0000,48.9500,NULL,NULL,3.1200
508450,'330824','开化县','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',NULL,47.6400,47.3800,NULL,0.6100
508451,'330825','龙游县','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',0.0000,60.8200,60.1100,1.1200,NULL
508452,'330881','江山市','2023-11-09 04:15:00.000000','2023-11-09 04:30:00.000000',0.0000,54.9000,61.2900,1.6700,4.2900
508453,'330800','衢州市','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',0.0000,61.8600,66.6600,1.1700,2.9700
508454,'330802','柯城区','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',0.0000,NULL,66.6600,1.1700,2.9700
508455,'330803','衢江区','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',0.0000,61.9400,58.0800,1.1000,3.0300
508456,'330822','常山县','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',0.0000,40.9500,45.7700,1.1600,3.0900
508457,'330824','开化县','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',NULL,NULL,49.0700,0.6800,NULL
508458,'330825','龙游县','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',0.0000,NULL,60.1000,1.1400,2.4700
508459,'330881','江山市','2023-11-09 04:30:00.000000','2023-11-09 04:45:00.000000',NULL,52.9500,61.3800,1.9100,4.2400
508460,'330800','衢州市','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,67.6600,NULL,NULL
508461,'330802','柯城区','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,67.6600,1.0500,2.9300
508462,'330803','衢江区','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,NULL,0.9500,3.0000
