"ID","area_code","area_name","observe_time","data_time","rain","temperature","humidity","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred","cloud_amount"
43059,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',0.5700,20.9100,NULL,236.1000,NULL,222.8500,0.7100,0.8000,NULL
43060,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,20.9900,52.6400,NULL,NULL,23.1000,1.9000,NULL,NULL
43061,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',NULL,15.9800,87.9100,NULL,38.6400,44.9900,2.9200,NULL,89.6800
43062,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',0.7300,NULL,60.4100,236.6100,188.7500,196.0800,0.8700,1.0200,NULL
43063,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',3.6000,18.9400,89.0600,18.6100,NULL,47.8900,NULL,NULL,100.0000
43064,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',NULL,20.7100,59.2900,NULL,18.2400,16.0900,1.1600,1.4300,100.0000
43065,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',7.5600,17.6000,89.8100,NULL,85.4600,NULL,2.0000,3.8300,100.0000
43066,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,NULL,86.4700,0.0000,59.4600,82.0500,NULL,NULL,100.0000
43067,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',NULL,16.2700,89.7000,0.0000,348.6700,12.9300,1.7600,NULL,99.3700
43068,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,16.3300,92.4400,NULL,NULL,341.6700,NULL,0.4400,100.0000
43069,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,NULL,77.1300,NULL,31.1200,31.7600,NULL,NULL,100.0000
43070,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',1.7100,17.0800,NULL,0.0000,NULL,31.4100,2.9700,5.4600,100.0000
43071,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.1600,15.9900,NULL,0.0000,22.1200,31.8700,2.8700,5.5500,100.0000
43072,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',NULL,16.0900,NULL,NULL,NULL,NULL,2.4800,NULL,96.5400
43073,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,NULL,93.1200,0.0000,341.5900,349.1700,1.4200,2.1400,100.0000
43074,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',9.8600,16.4900,NULL,NULL,357.9800,NULL,1.5100,NULL,NULL
43075,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,16.0100,NULL,0.0000,36.8600,51.0300,2.0300,3.9200,100.0000
43076,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',NULL,15.5400,97.1800,0.0000,6.0500,21.2600,1.6500,3.4100,94.8600
43077,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,17.4200,87.0300,0.0000,16.3300,40.4900,1.5300,NULL,NULL
43078,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,17.8300,85.2300,NULL,15.7100,NULL,1.3000,2.5600,100.0000
43079,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',NULL,17.4200,87.0300,NULL,16.3300,40.4900,1.5300,NULL,100.0000
43080,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',8.9600,NULL,NULL,0.0000,70.5400,79.2900,1.6700,NULL,100.0000
43081,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',8.0900,17.5800,88.2300,0.0000,81.2800,83.4500,2.0800,4.4900,100.0000
43082,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.8600,16.8300,88.7700,0.0000,69.7900,64.8800,2.3500,4.7600,92.0200
43083,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',8.9600,17.1700,90.4700,0.0000,70.5400,79.2900,1.6700,3.8100,NULL
43084,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',NULL,17.3000,NULL,0.0000,70.6100,60.3400,NULL,5.2100,97.7500
43085,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.8600,16.8300,88.7700,0.0000,69.7900,64.8800,2.3500,NULL,92.0200
43086,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,16.6000,76.2200,0.0000,65.6200,57.9500,3.6000,6.2000,100.0000
43087,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,16.7100,74.5600,NULL,56.7800,50.6000,3.5800,6.1700,100.0000
43088,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',5.6700,NULL,NULL,NULL,NULL,60.8900,2.2700,4.0900,NULL
43089,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,17.1200,NULL,0.0000,26.1100,50.4300,1.4500,2.4400,100.0000
43090,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',1.7200,16.1800,94.1500,0.0000,44.4400,51.8900,2.8300,5.5600,NULL
43091,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,16.6000,NULL,0.0000,NULL,NULL,3.6000,6.2000,NULL
43092,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,15.8800,NULL,0.0000,59.5900,60.7400,5.0700,8.4600,100.0000
