"ID","regimen_id","reservior_id","yesterday_rainfall","eight_to_now_rainfall","water_line","eight_to_now_water_line","storeage_capacity","date","inflow","outflow","store_energy","full_power_hour"
"40044","900233080000029684","900233080000000003","0.0000","0.0000","183.8000","0.0000","121.9100","2024-01-05 04:00:00.000000","0.0000","0.0000","11816864.0000","937.8464"
"40045","900233080000029692","900233080000000006","0.0000","0.0000","167.5200","167.5200","41.4160","2024-01-05 04:00:00.000000","0.0000","0.0000","1145511.7500","90.9136"
"40046","900233080000029696","900233080000000012","0.0000","0.0000","129.7600","129.7800","74.3040","2024-01-05 04:00:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40047","900233080000029673","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 04:15:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40048","900233080000029677","900233080000000002","0.0000","0.0000","231.4200","0.0000","38.2340","2024-01-05 04:15:00.000000","0.0000","0.0000","223543.4531","14.9029"
"40049","900233080000029685","900233080000000003","0.0000","0.0000","183.8000","0.0000","121.9100","2024-01-05 04:15:00.000000","0.0000","0.0000","11816864.0000","937.8464"
"40050","900233080000029705","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 04:15:00.000000","0.0000","0.0000","0.0000","0.0000"
"40051","900233080000029717","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 04:15:00.000000","0.0000","0.0000","0.0000","0.0000"
"40052","900233080000029721","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 04:15:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40053","900233080000029674","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 04:30:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40054","900233080000029678","900233080000000002","0.0000","0.0000","231.4200","0.0000","38.2340","2024-01-05 04:30:00.000000","0.0000","0.0000","223543.4531","14.9029"
"40055","900233080000029686","900233080000000003","0.0000","0.0000","183.8000","0.0000","121.9100","2024-01-05 04:30:00.000000","0.0000","0.0000","11816864.0000","937.8464"
"40056","900233080000029706","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 04:30:00.000000","0.0000","0.0000","0.0000","0.0000"
"40057","900233080000029718","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 04:30:00.000000","0.0000","0.0000","0.0000","0.0000"
"40058","900233080000029722","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 04:30:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40059","900233080000029675","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 04:45:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40060","900233080000029679","900233080000000002","0.0000","0.0000","231.4200","0.0000","38.2340","2024-01-05 04:45:00.000000","0.0000","0.0000","223543.4531","14.9029"
"40061","900233080000029687","900233080000000003","0.0000","0.0000","183.8000","0.0000","121.9100","2024-01-05 04:45:00.000000","0.0000","0.0000","11816864.0000","937.8464"
"40062","900233080000029707","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 04:45:00.000000","0.0000","0.0000","0.0000","0.0000"
"40063","900233080000029719","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 04:45:00.000000","0.0000","0.0000","0.0000","0.0000"
"40064","900233080000029723","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 04:45:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40065","900233080000029676","900233080000000001","0.0000","0.0000","334.5800","334.8300","131.8359","2024-01-05 05:00:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40066","900233080000029680","900233080000000002","0.0000","0.0000","231.4200","231.5400","38.2340","2024-01-05 05:00:00.000000","0.0000","0.0000","223543.4531","14.9029"
"40067","900233080000029688","900233080000000003","0.0000","0.0000","183.8000","183.8100","121.9100","2024-01-05 05:00:00.000000","0.0000","0.0000","11816864.0000","937.8464"
"40068","900233080000029708","900233080000000005","0.0000","0.0000","258.8900","258.9100","33.4780","2024-01-05 05:00:00.000000","0.0000","0.0000","0.0000","0.0000"
"40069","900233080000029720","900233080000000006","0.0000","0.0000","167.5200","167.5200","41.4160","2024-01-05 05:00:00.000000","0.0000","0.0000","0.0000","0.0000"
"40070","900233080000029724","900233080000000012","0.0000","0.0000","129.7600","129.7800","74.3040","2024-01-05 05:00:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40071","900233080000029709","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 05:15:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40072","900233080000029713","900233080000000002","0.0000","0.0000","231.4175","0.0000","38.2285","2024-01-05 05:15:00.000000","0.0000","6.1162","223142.9844","14.8762"
"40073","900233080000029710","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 05:30:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40074","900233080000029714","900233080000000002","0.0000","0.0000","231.4150","0.0000","38.2230","2024-01-05 05:30:00.000000","0.0000","6.0781","222745.1406","14.8497"
"40075","900233080000029711","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 05:45:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40076","900233080000029715","900233080000000002","0.0000","0.0000","231.4125","0.0000","38.2175","2024-01-05 05:45:00.000000","0.0000","6.1162","222344.3906","14.8230"
"40077","900233080000029712","900233080000000001","0.0000","0.0000","334.5800","334.8300","131.8359","2024-01-05 06:00:00.000000","0.0000","0.0000","0.0000","0.0000"
"40078","900233080000029716","900233080000000002","0.0000","0.0000","231.4100","231.5400","38.2120","2024-01-05 06:00:00.000000","0.0000","0.0000","0.0000","0.0000"
"40079","900233080000029745","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 06:15:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40080","900233080000029749","900233080000000002","0.0000","0.0000","231.4100","0.0000","38.2120","2024-01-05 06:15:00.000000","0.0000","0.0000","221943.9375","14.7963"
"40081","900233080000029777","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 06:15:00.000000","0.0000","0.0000","0.0000","0.0000"
"40082","900233080000029789","900233080000000003","0.0000","0.0000","183.7825","0.0000","121.7910","2024-01-05 06:15:00.000000","18.9124","0.0000","11798334.0000","936.3757"
"40083","900233080000029793","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 06:15:00.000000","0.0000","0.0000","1145511.7500","90.9136"
"40084","900233080000029797","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 06:15:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40085","900233080000029746","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 06:30:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40086","900233080000029750","900233080000000002","0.0000","0.0000","231.4100","0.0000","38.2120","2024-01-05 06:30:00.000000","0.0000","0.0000","221943.9375","14.7963"
"40087","900233080000029778","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 06:30:00.000000","0.0000","0.0000","0.0000","0.0000"
"40088","900233080000029790","900233080000000003","0.0000","0.0000","183.7850","0.0000","121.8080","2024-01-05 06:30:00.000000","18.9039","0.0000","11800983.0000","936.5859"
"40089","900233080000029794","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 06:30:00.000000","0.0000","0.0000","1145511.7500","90.9136"
"40090","900233080000029798","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 06:30:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40091","900233080000029747","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 06:45:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40092","900233080000029751","900233080000000002","0.0000","0.0000","231.4100","0.0000","38.2120","2024-01-05 06:45:00.000000","0.0000","0.0000","221943.9375","14.7963"
"40093","900233080000029779","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 06:45:00.000000","0.0000","0.0000","0.0000","0.0000"
"40094","900233080000029791","900233080000000003","0.0000","0.0000","183.7875","0.0000","121.8249","2024-01-05 06:45:00.000000","18.7937","0.0000","11803617.0000","936.7950"
"40095","900233080000029795","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 06:45:00.000000","0.0000","0.0000","1145511.7500","90.9136"
"40096","900233080000029799","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 06:45:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40097","900233080000029748","900233080000000001","0.0000","0.0000","334.5800","334.8300","131.8359","2024-01-05 07:00:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40098","900233080000029752","900233080000000002","0.0000","0.0000","231.4100","231.5400","38.2120","2024-01-05 07:00:00.000000","0.0000","0.0000","221943.9375","14.7963"
"40099","900233080000029780","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 07:00:00.000000","0.0000","0.0000","0.0000","0.0000"
"40100","900233080000029792","900233080000000003","0.0000","0.0000","183.7900","0.0000","121.8419","2024-01-05 07:00:00.000000","18.9039","0.0000","11806266.0000","937.0052"
"40101","900233080000029796","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 07:00:00.000000","0.0000","0.0000","1145511.7500","90.9136"
"40102","900233080000029800","900233080000000012","0.0000","0.0000","129.7600","0.0000","74.3040","2024-01-05 07:00:00.000000","0.0000","0.0000","1862479.6250","388.0166"
"40103","900233080000029781","900233080000000001","0.0000","0.0000","334.5800","0.0000","131.8359","2024-01-05 07:15:00.000000","0.0000","0.0000","7312819.5000","182.8205"
"40104","900233080000029785","900233080000000002","0.0000","0.0000","231.4100","0.0000","38.2120","2024-01-05 07:15:00.000000","0.0000","0.0000","221943.9375","14.7963"
"40105","900233080000029813","900233080000000005","0.0000","0.0000","258.8900","0.0000","33.4780","2024-01-05 07:15:00.000000","0.0000","0.0000","0.0000","0.0000"
"40106","900233080000029825","900233080000000003","0.0000","0.0000","183.7925","0.0000","121.8590","2024-01-05 07:15:00.000000","18.9124","0.0000","11808916.0000","937.2156"
"40107","900233080000029829","900233080000000006","0.0000","0.0000","167.5200","0.0000","41.4160","2024-01-05 07:15:00.000000","0.0000","0.0000","1145511.7500","90.9136"
