"ID","station_id","base_power","mwh_per_year","water_turbine_type","reservoir_id","reservoir_name","hydro_type","max_head","min_head"
"218","01113308240028","0.100000","27.000000","斜流式","900233030000000002","水库","可调节","NULL","NULL"
"219","01113308240029","0.100000","28.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"220","01113308240030","0.100000","29.000000","混流式","900233030000000002","水库","可调节","NULL","NULL"
"221","01113308240039","0.100000","34.000000","混流式","900233030000000002","水库","可调节","NULL","NULL"
"222","01113308240031","0.100000","30.000000","混流式","900233030000000002","水库","可调节","NULL","NULL"
"223","01113308240032","0.100000","31.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"224","01113308240033","0.100000","32.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"225","01113308240040","0.100000","35.000000","混流式","900233030000000002","水库","可调节","NULL","NULL"
"226","01113308240034","0.100000","33.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"227","01113308000012","20.000000","29200.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"228","01113308220019","0.125000","20.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"229","01113308220020","0.160000","21.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"230","01113308220021","0.225000","50.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"231","01113308240037","0.630000","4100.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"232","01113300000111","16.300000","174700.000000","NULL","900233080000000012","黄坛口水库","径流式","31.00","24.00"
"233","01113308000022","3.750000","5475.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"234","01113308000023","18.000000","26280.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"235","01113308000028","1.250000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"236","01113308000029","2.500000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"237","01113308000030","1.600000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"238","01113308000031","0.800000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"239","01113308000032","0.630000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"240","01113308220007","1.000000","34.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"241","01113308220008","1.000000","44.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"242","01113300000097","0.000000","0.000000","NULL","900233080000000012","八源电站水库","NULL","NULL","NULL"
"243","01113308240078","0.100000","12.000000","混流式","900233030000000002","水库","可调节","NULL","NULL"
"244","01113308000169","10.000000","100.000000","NULL","900233000000000006","黄坛口水库","NULL","NULL","NULL"
"245","01113308250050","3.000000","20.000000","混流式","900233110000000003","左溪一级","径流式","NULL","NULL"
"246","01113308220033","0.320000","NULL","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"247","01113308220034","0.281000","NULL","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"248","01113308220035","0.400000","NULL","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"249","01113308000178","1.450000","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
